track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166,3
93 Million Miles,1s8tP3jP4GZcyHDsjvw218,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387,4
Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960,4
Fast Car,63wsZUhUZLlh1OsyrZq7sz,0.392,0.251,10,-9.845,1,0.0363,0.807,0.0,0.0797,0.508,204.961,304293,4
Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,244320,4
What They Say,24NvptbNKGs6sPy1Vh1O0v,0.566,0.57,2,-6.42,1,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,166240,4
Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,0.575,0.606,9,-8.197,1,0.03,0.0119,0.0,0.0675,0.364,121.083,152307,4
Dancing Shoes,3Y6BuzQCg9p4yH347Nn8OW,0.586,0.423,7,-7.459,1,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,232373,4
Living in the Moment,3ce7k1L4EkZppZPz1EJWTS,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,235080,4
Heaven,2EKxmYmUdAVXlaHCnnW13o,0.619,0.28,8,-10.238,0,0.0317,0.73,0.0,0.103,0.292,129.948,250063,4
Say Anything,1RjEDlhTp2iJXWPdLpa8OM,0.657,0.43,1,-10.202,1,0.0314,0.534,0.000238,0.12,0.335,91.967,236379,4
Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,0.655,0.692,5,-6.217,1,0.0326,0.568,2.34e-05,0.119,0.547,121.455,234270,4
Someone Like You,6VtoP2sJt5oCmPOQIve2sf,0.439,0.207,1,-9.573,1,0.0297,0.608,0.0,0.186,0.264,136.514,276147,4
The Woman I Love,0AYG9AcwqEeqgAw3OvshPC,0.591,0.647,4,-8.34,1,0.0277,0.067,6.57e-05,0.231,0.678,79.68,190752,4
I Shall Be Released,0J1iFISejodqBIy0Q9AS0N,0.45,0.713,6,-7.503,0,0.0386,0.157,0.0,0.992,0.36,74.71,283587,4
Kingdom Come,1IZc5f9ulw7Ge2eOpQH7w6,0.497,0.277,4,-11.382,0,0.0373,0.846,4.77e-06,0.111,0.179,81.367,222560,4
Home,20kpTTSvI4ok6Gm1uZqtcz,0.439,0.265,2,-10.72,1,0.0343,0.736,0.0,0.093,0.382,140.494,247002,4
Transvestities Can Be Cannibals Too,46KacVTVWMkyXS0jf7TwOX,0.499,0.614,7,-8.175,1,0.0621,0.151,3.52e-06,0.0555,0.605,89.038,276973,4
One Grain of Sand,3yqJGfvXtPZLiWHVeLWtm8,0.713,0.824,3,-7.168,1,0.0393,0.106,8.03e-05,0.13,0.696,120.028,207240,4
